scanfield,scandate
21111900TS000L1I,"2021-11-22 15:55:00"
21111900TS03XL1I,"2021-11-22 15:55:00"
2111190NKK00XL4I,"2021-11-22 15:57:00"
2111190NKK00XL4I,"2021-11-22 15:58:00"
21111900JK000L2I,"2021-11-22 15:59:00"
21111900JK03XL1I,"2021-11-22 15:59:00"
2111190TUI00001I,"2021-11-22 16:00:00"
2111190TUI00001I,"2021-11-22 16:00:00"
21111900TS000L1I,"2021-11-22 16:00:00"
21111900TS03XL1I,"2021-11-22 15:55:00"
21111900JK000L2I,"2021-11-22 15:59:00"
21111900JK03XL1I,"2021-11-22 15:59:00"
2111190TUI00001I,"2021-11-22 16:00:00"
2111190TUI00001I,"2021-11-22 16:00:00"
21111900AM002P1I,"2021-11-22 16:03:00"
21111900JK000M1I,"2021-11-22 16:04:00"
21111900JK00XL1I,"2021-11-22 16:07:00"
21111900JK02XL1I,"2021-11-22 16:07:00"
211119000N034L1I,"2021-11-22 16:08:00"
21111900AM002P2I,"2021-11-22 16:14:00"
21111900JK02XL1I,"2021-11-22 16:09:00"
2111190NKK000M1I,"2021-11-22 16:10:00"
211119TRUM000M1I,"2021-11-22 16:13:00"
2111190NKK00XL4I,"2021-11-22 16:13:00"
211119TRUM000M1I,"2021-11-22 16:13:00"
21111900KT00001I,"2021-11-22 16:14:00"
21111900AM002P2I,"2021-11-22 16:14:00"
211119000N034L2I,"2021-11-22 16:15:00"
211119TRUM000M1I,"2021-11-22 16:15:00"
211119TRUM000M1I,"2021-11-22 16:16:00"
2111190KDT00002I,"2021-11-22 16:16:00"
2111190NCK000L2I,"2021-11-22 16:17:00"
21111900JK000M1I,"2021-11-22 16:17:00"
21111900AM001P1I,"2021-11-22 16:18:00"
21111900AM002P2I,"2021-11-22 16:19:00"
21111900KT00001I,"2021-11-22 16:20:00"
211119TRUM000M1I,"2021-11-22 16:20:00"
2111190CDM00XL2I,"2021-11-22 16:21:00"
21111900TS000L1I,"2021-11-22 16:21:00"
21111900TS000L1I,"2021-11-22 16:21:00"
2111190NKK000L4I,"2021-11-22 16:22:00"
21111900JK00XL1I,"2021-11-22 16:22:00"
21111900JK000M1I,"2021-11-22 16:23:00"
21111900AM002P2I,"2021-11-22 16:23:00"
21111900JK000L2I,"2021-11-22 16:24:00"
21111900TS02XL2I,"2021-11-22 16:25:00"
2111190NCK00XL2I,"2021-11-22 16:25:00"
21111900TS03XL1I,"2021-11-23 16:32:24"
2111190NKK000L4I,"2021-11-23 16:32:53"
21111900AM001P1I,"2021-11-23 16:51:18"
21111900AM002P2I,"2021-11-23 17:04:21"
21111900AM002P2I,"2021-11-23 17:04:37"
2111190NKK000L4I,"2021-11-23 16:32:53"
21111900AM001P1I,"2021-11-23 16:51:18"
2111190TUI00001I,"2021-11-23 16:57:54"
21111900AM01PW1I,"2021-11-23 17:03:47"
21111900AM002P2I,"2021-11-23 17:04:21"
211119000N034L2I,"2021-11-24 13:49:06"
21111900TS000M1I,"2021-11-24 14:25:27"
21111900TS000M1I,"2021-11-24 14:25:28"
21111900TS000M1I,"2021-11-24 14:25:28"
21111900TS000M1I,"2021-11-24 14:26:53"
21111900AM001P1I,"2021-11-24 14:27:38"
21111900JK000M1I,"2021-11-24 14:27:29"
21111900AM01PW1I,"2021-11-24 14:28:13"
2111190TUI00001I,"2021-11-24 14:29:18"
2111190NCK00XL3I,"2021-11-24 14:29:57"
2111190NCK00XL3I,"2021-11-24 14:30:33"
21111900JK000L2I,"2021-11-25 13:56:04"
21111900JK03XL1I,"2021-11-25 17:23:53"
211119000N34XL2I,"2021-11-25 13:57:11"
21111900JK03XL4I,"2021-11-25 13:57:41"
21111900JK000L2I,"2021-11-25 13:57:59"
2111190NKK000M2I,"2021-11-25 13:58:59"
21111900TS000M1I,"2021-11-25 13:59:19"
21111900TS000M1I,"2021-11-26 10:20:31"
21111900TS000M1I,"2021-11-26 10:20:33"
2111190TUI00001I,"2021-11-26 10:20:40"
2111190NKK000M2I,"2021-11-26 10:21:54"
21111900AM001P1I,"2021-11-26 10:22:13"
21111900JK000M1I,"2021-11-26 10:23:32"
2111190NKK000M2I,"2021-11-26 10:32:23"
21111900AM001P1I,"2021-11-26 10:32:59"
21111900TS00XL1I,"2021-11-26 10:33:32"
21111900TS00XL1I,"2021-11-26 10:33:33"
21111900JK00XL9I,"2021-11-26 10:34:20"
2111190TUI00001I,"2021-11-26 10:35:01"
21111900JK000M1I,"2021-11-26 10:52:04"
21111900TS000M1I,"2021-11-26 10:52:44"
21111900TS000M1I,"2021-11-26 10:52:45"
21111900TS000M1I,"2021-11-26 10:52:46"
21111900AM01PW1I,"2021-11-26 10:53:16"
21111900KT00001I,"2021-11-26 10:53:33"
21111900KT00001I,"2021-11-26 10:53:35"
21111900KT00001I,"2021-11-26 10:53:36"
21111900KT00001I,"2021-11-26 10:53:37"
2111190NCK000L2I,"2021-11-26 10:54:01"
211119TRUM000M1I,"2021-11-26 10:54:16"
21111900KT00001I,"2021-11-26 10:54:57"
21111900KT00001I,"2021-11-26 10:54:58"
21111900KT00001I,"2021-11-26 10:55:00"
21111900KT00001I,"2021-11-26 10:55:01"
21111900JK03XL4I,"2021-11-26 10:55:22"
21111900JK00XL9I,"2021-11-26 10:55:53"
21111900TS000L1I,"2021-11-26 10:56:18"
2111190TUI00001I,"2021-11-26 10:56:37"
211119TRUM000M1I,"2021-11-29 14:06:00"
21111900TS000L1I,"2021-11-29 14:06:23"
2111190TUI00001I,"2021-11-29 14:06:47"
211119000N34XL2I,"2021-11-29 14:07:08"
21111900JK00XL9I,"2021-11-29 14:07:27"
21111900TS000L1I,"2021-11-29 14:08:00"
21111900JK000M1I,"2021-11-29 14:25:54"
21111900AM002P1I,"2021-11-29 14:26:11"
21111900JK02XL1I,"2021-11-29 14:26:58"
21111900JK00XL9I,"2021-11-29 14:27:11"
21111900JK03XL4I,"2021-11-29 14:27:27"
21111900JK000L2I,"2021-11-29 14:28:32"
2111190NKK000L4I,"2021-11-29 14:28:48"
2111190KDT00001I,"2021-11-29 14:46:44"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
2111190TUI00001I,"2021-11-29 14:50:20"
2111190TUI00001I,"2021-11-29 14:50:39"
211119TRUM000M1I,"2021-11-29 14:50:55"
2111190NCK000L1I,"2021-11-29 15:23:10"
211119TRUM000M1I,"2021-11-29 15:23:21"
21111900AM002P1I,"2021-11-29 15:23:42"
21111900AM01PW1I,"2021-11-29 15:25:42"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
21111900KT00001I,"2021-11-26 10:55:00"
21111900KT00001I,"2021-11-26 10:55:01"
21111900TS000M1I,"2021-11-30 11:34:45"
21111900TS000M1I,"2021-11-30 11:34:45"
21111900TS000M1I,"2021-11-30 11:34:46"
2111190NKK000M3I,"2021-11-30 11:35:02"
21111900JK000L2I,"2021-11-30 11:35:33"
2111190NKK000M3I,"2021-11-30 11:36:22"
21111900TS000M1I,"2021-11-30 11:36:30"
21111900TS000M1I,"2021-11-30 11:36:31"
21111900TS03XL1I,"2021-11-30 11:36:56"
21111900TS03XL1I,"2021-11-30 11:36:57"
211119TRUM000M2I,"2021-11-30 11:37:09"
211119TRUM000M2I,"2021-11-30 11:37:18"
21111900AM002P1I,"2021-11-30 11:37:30"
21111900AM002P1I,"2021-11-30 11:51:49"
21111900AM002P1I,"2021-11-30 11:51:36"
21111900JK00XL9I,"2021-12-01 11:01:40"
21111900JK00XL9I,"2021-12-01 11:01:41"
21111900TS00XL1I,"2021-12-01 11:02:01"
21111900TS00XL1I,"2021-12-01 11:02:02"
21111900TS00XL1I,"2021-12-01 11:02:03"
21111900TS00XL1I,"2021-12-01 11:02:05"
2111190TUI00001I,"2021-12-01 11:02:14"
2111190TUI00001I,"2021-12-01 11:02:15"
21111900AM001P1I,"2021-12-01 11:02:31"
21111900AM001P1I,"2021-12-01 11:02:32"
2111190NKK000M3I,"2021-12-01 11:02:43"
2111190NKK000L4I,"2021-12-01 11:02:45"
211119000N034L2I,"2021-12-01 11:03:37"
21111900KT00001I,"2021-12-01 11:04:21"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900KT00001I,"2021-12-01 11:03:56"
21111900AM002P1I,"2021-12-01 11:04:31"
21111900AM002P1I,"2021-12-01 11:04:50"
21111900JK000M1I,"2021-12-01 11:05:14"
211119TRUM000M2I,"2021-12-01 11:05:40"
2111190TUI00001I,"2021-12-01 11:05:44"
21111900AM001P1I,"2021-12-01 11:06:01"
21111900JK000M1I,"2021-12-02 13:48:49"
21111900TS000M1I,"2021-12-02 13:49:43"
21111900TS000M1I,"2021-12-02 13:49:44"
2111190NKK000M3I,"2021-12-02 13:50:18"
21111900AM001P1I,"2021-12-02 13:50:40"
2111190TUI00001I,"2021-12-02 14:22:48"
2111190TUI00001I,"2021-12-02 14:22:50"
21111900AM001P1I,"2021-12-02 14:22:53"
211119000N34XL1I,"2021-12-02 14:23:15"
21111900JK02XL1I,"2021-12-02 14:23:33"
21111900JK000M3I,"2021-12-02 14:23:44"
2111190KDT00001I,"2021-12-02 14:23:55"
211119TRUM000M2I,"2021-12-02 14:25:15"
2111190TUI00001I,"2021-12-02 14:25:47"
2111190TUI00001I,"2021-12-02 14:25:51"
211119000N034L2I,"2021-12-02 14:26:12"
2111190TUI00001I,"2021-12-02 14:26:17"
21111900JK000L2I,"2021-12-02 14:26:51"
21111900JK000M1I,"2021-12-02 14:27:13"
211119000N34XL2I,"2021-12-03 09:51:36"
21111900JK000M1I,"2021-12-03 10:27:42"
21111900JK000M3I,"2021-12-03 10:28:07"
21111900TS000M1I,"2021-12-03 10:30:07"
21111900TS000M2I,"2021-12-03 10:28:25"
2111190TUI00001I,"2021-12-03 10:28:36"
21111900AM001P1I,"2021-12-03 10:28:50"
2111190NKK000M3I,"2021-12-03 10:29:05"
21111900JK00XL9I,"2021-12-03 10:33:04"
21111900TS000L4I,"2021-12-03 10:33:21"
21111900TS000L4I,"2021-12-03 10:33:22"
2111190NKK000L4I,"2021-12-03 10:33:32"
2111190TUI00001I,"2021-12-03 10:33:45"
21111900AM001P1I,"2021-12-03 10:33:58"
21111900AM001P1I,"2021-12-03 10:34:12"
21111900JK000M3I,"2021-12-03 10:34:27"
2111190NKK000M3I,"2021-12-03 10:34:37"
21111900TS000M2I,"2021-12-03 10:34:46"
21111900TS000M2I,"2021-12-03 10:34:46"
2111190TUI00001I,"2021-12-03 10:34:57"
2111190TUI00001I,"2021-12-03 10:35:06"
21111900TS000M2I,"2021-12-03 10:35:08"
21111900TS000M2I,"2021-12-03 10:35:09"
21111900AM001P1I,"2021-12-03 10:35:18"
21111900JK000M3I,"2021-12-03 10:35:23"
2111190NKK000M3I,"2021-12-03 10:35:32"
2111190NCK000L1I,"2021-12-03 10:40:20"
21111900AM002P1I,"2021-12-03 10:37:45"
2111190KDT00001I,"2021-12-03 10:38:11"
21111900KT00001I,"2021-12-03 10:38:21"
21111900KT00001I,"2021-12-03 10:38:22"
21111900KT00001I,"2021-12-03 10:38:23"
21111900KT00001I,"2021-12-03 10:38:24"
21111900JK000M3I,"2021-12-03 10:38:34"
2111190TUI00001I,"2021-12-03 10:38:47"
21111900TS00XL4I,"2021-12-03 10:38:59"
21111900JK00XL9I,"2021-12-03 10:39:08"
2111190NKK000L4I,"2021-12-03 14:57:07"
2111190NKK000L4I,"2021-12-03 14:57:08"
211119TRUM000M2I,"2021-12-03 14:57:21"
211119TRUM000M2I,"2021-12-03 14:57:22"
21111900AM01PW1I,"2021-12-03 14:57:50"
21111900AM01PW1I,"2021-12-03 14:57:50"
21111900AM01PW1I,"2021-12-03 14:57:52"
21111900AM001P1I,"2021-12-03 14:57:53"
21111900AM001P1I,"2021-12-03 14:57:54"
21111900AM001P1I,"2021-12-03 14:57:56"
21111900AM001P1I,"2021-12-03 14:57:57"
21111900JK000M3I,"2021-12-03 14:58:44"
21111900JK000M3I,"2021-12-03 14:58:45"
21111900JK00XL9I,"2021-12-03 14:58:50"
21111900JK00XL9I,"2021-12-03 14:58:51"
2111190TUI00001I,"2021-12-06 14:01:16"
211119000N034L2I,"2021-12-06 13:59:41"
21111900TS03XL2I,"2021-12-06 13:59:54"
21111900TS03XL2I,"2021-12-06 13:59:54"
21111900JK00XL9I,"2021-12-06 14:01:25"
21111900TS00XL4I,"2021-12-06 14:01:48"
21111900TS00XL4I,"2021-12-06 14:01:40"
21111900TS00XL4I,"2021-12-06 14:01:40"
2111190NKK000M3I,"2021-12-06 14:02:23"
2111190TUI00001I,"2021-12-06 14:02:36"
21111900TS03XL2I,"2021-12-06 14:04:59"
21111900TS03XL2I,"2021-12-06 14:04:59"
21111900JK03XL4I,"2021-12-06 14:05:23"
21111900AM001P1I,"2021-12-06 14:05:41"
2111190TUI00001I,"2021-12-06 14:05:48"
2111190NKK000L4I,"2021-12-06 14:05:56"
21111900TS02XL2I,"2021-12-06 14:06:25"
21111900JK02XL1I,"2021-12-06 14:06:44"
21111900AM001P1I,"2021-12-06 14:07:00"
2111190TUI00001I,"2021-12-06 14:07:05"
2111190NKK000L4I,"2021-12-06 14:07:17"
2111190NKK000L4I,"2021-12-06 14:07:39"
21111900TS000L4I,"2021-12-06 14:07:49"
21111900TS000L4I,"2021-12-06 14:07:50"
21111900JK000L2I,"2021-12-06 14:08:43"
21111900AM001P1I,"2021-12-06 14:08:57"
2111190TUI00001I,"2021-12-06 14:09:04"
2111190TUI00001I,"2021-12-06 14:40:15"
21111900TS000L4I,"2021-12-06 14:40:24"
21111900TS000L4I,"2021-12-06 14:40:24"
2111190NKK000M3I,"2021-12-06 14:40:44"
21111900AM001P1I,"2021-12-06 14:40:59"
21111900JK000L6I,"2021-12-06 14:41:12"
2111190NCK00XL3I,"2021-12-07 14:02:33"
2111190NCK00XL3I,"2021-12-07 14:03:00"
2111190NCK000L1I,"2021-12-07 14:03:02"
2111190NKK000M3I,"2021-12-07 14:03:20"
2111190TUI00001I,"2021-12-07 14:03:53"
2111190TUI00001I,"2021-12-07 14:04:02"
21111900JK00XL9I,"2021-12-07 14:04:19"
